feature,mean_abs_shap
num__ip_risk_score,0.34258157
num__event_hour,0.33606517
num__overall_risk_score,0.33162794
num__order_amount,0.3093344
num__email_verified,0.30770844
num__shipping_risk_score,0.19355468
num__unusual_time,0.18794474
cat__event_time,0.18442595
num__amount_inr,0.14142941
num__account_age_days,0.12735221
num__distance_ip_to_shipping_km,0.11310097
cat__payment_method,0.1033475
num__failed_payments_last_24h,0.08503623
num__suspected_method,0.073739536
num__orders_last_7d,0.06498374
num__item_count,0.060793884
cat__currency,0.052713934
num__ip_risk,0.043180216
num__device_risk,0.037769325
num__shipping_address_changed,0.022622177
num__billing_shipping_mismatch,0.022363577
cat__country,0.017214049
num__new_account,0.00949827
num__suspected_failed_payments_last_24h,0.0073045553
num__unusual_amount,0.0046989904
num__unusual_item_qty,0.0028112386
num__unusual_distance,0.0020772393
num__unusual_orders_last_7d,0.0001600496
